age,male500,female500,male1000,female1000,male2000,female2000,male3000,female3000,male4000,female4000,male6000,female6000
1,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0
3,1,1,1,1,1,1,2,1,2,1,3,2
4,2,2,2,2,3,3,6,4,8,4,9,6
5,4,4,4,4,7,6,12,8,16,9,18,12
6,6,6,7,7,12,11,20,13,28,16,32,21
7,10,10,11,11,19,16,31,20,43,24,49,32
